"Name","Title","Description","Version","m.Date","m.Time","Author","Citation"
"Generate_DataFile_MG-deprecated","Generates, from one (or several) BIN file(s) of Multi-grain OSL measurements a list of luminescence data and information before statistical analysis (DEPRECATED)","This function is used to generate, from the BIN file(s), a list of values of:  Multi-grain  OSL intensities and associated uncertainties, regenerative doses, etc., which will be the input of the Bayesian models. To be easy-to-use, this function requires a rigorous organisation - all needed files should be arranged in one folder - of informations concerning each BIN file.  It is possible to process data for various samples simultaneously and to consider more than one BIN-file per sample.",NA,NA,NA,"Claire Christophe, Sebastian Kreutzer, Anne Philippe, Guillaume Guérin<br />","Christophe, C., Kreutzer, S., Philippe, A., Guérin, G., 2024. Generate_DataFile_MG-deprecated(): Generates, from one (or several) BIN file(s) of Multi-grain OSL measurements a list of luminescence data and information before statistical analysis (DEPRECATED). In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"Generate_DataFile-deprecated","Generates, from one (or several) BIN-file(s) of Single-grain OSL measurements, a list of luminescence data and information before statistical analysis (DEPRECATED)","This function is used to generate, from the BIN file(s), a list of values of: Single-grain  OSL intensities and associated uncertainties, regenerative doses, etc., which will be the input of the Bayesian models. To be easy-to-use, this function requires a rigorous organisation - all needed files should be arranged in one folder - of informations concerning each BIN file.   It is possible to process data for various samples simultaneously and to consider more than one BIN file per sample.",NA,NA,NA,"Claire Christophe, Sebastian Kreutzer, Anne Philippe, Guillaume Guerin<br />","Christophe, C., Kreutzer, S., Philippe, A., 2024. Generate_DataFile-deprecated(): Generates, from one (or several) BIN-file(s) of Single-grain OSL measurements, a list of luminescence data and information before statistical analysis (DEPRECATED). In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"IntCal13","<br /> Atmospheric North data for calibration of 14C age<br />","As 14C years is not equal to calendar years because atmospheric 14C concentration varies through time. Hence, data in AtmosphericNorth_CalC14 allows a calibration for mid-latitude Northern Hemisphere atmospher reservoir.",NA,NA,NA,NA,NA
"IntCal20","<br /> Atmospheric North data for calibration of 14C age<br />","As 14C years is not equal to calendar years because atmospheric 14C concentration varies through time. Hence, data in AtmosphericNorth_CalC14 allows a calibration for mid-latitude Northern Hemisphere atmospher reservoir.",NA,NA,NA,NA,NA
"LT_RegenDose-deprecated","Plots Lx/Tx as a function of the regenerative dose (DEPRECATED)","This function plots  Lx/Tx  values as a function of regenerative dose, for every selected aliquot and for each sample.",NA,NA,NA,"Claire Christophe, Sebastian Kreutzer, Anne Philippe, Guillaume Guérin<br />","Christophe, C., Kreutzer, S., Philippe, A., Guérin, G., 2024. LT_RegenDose-deprecated(): Plots Lx/Tx as a function of the regenerative dose (DEPRECATED). In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"Marine13","<br /> Marine data for calibration of 14C age ","As 14C years is not equal to calendar years because atmospheric 14C concentration varies through time. Hence, data in marine_CalC14 allows a calibration for hypothetical \"global\" marine reservoir.",NA,NA,NA,NA,NA
"Marine20","<br /> Marine data for calibration of 14C age ","As 14C years is not equal to calendar years because atmospheric 14C concentration varies through time. Hence, data in marine_CalC14 allows a calibration for hypothetical \"global\" marine reservoir.",NA,NA,NA,NA,NA
"MCMCsample","MCMC sample from the posterior distribution of the dataset GDB5<br /> %%   ~~ data name/kind ... ~~ <br />","MCMC samples from the posterior distribution of \"A\" for age, \"D\" for palaeodose and \"sD\" for dispersion of equivalent doses around \"D\", of the data set GDB5. %%  ~~ A concise (1-5 lines) description of the dataset. ~~",NA,NA,NA,NA,NA
"Model_Age","JAGS models use in  Age_Computation <br />","A list of JAGS models use to a Bayesian analysis of OSL age of one sample. There are models for various growth curves and various distrubution to describe equivalent dose distribution around the palaeodose.",NA,NA,NA,NA,NA
"Model_AgeC14","JAGS models use in  AgeC14_Computation <br />","A list of JAGS models use to a Bayesian analysis of C14 calibration age of various sample. Stratigraphic relations can be taken in count to calibrate C14 ages. This ages take into account that some data can be an outlier.",NA,NA,NA,NA,NA
"Model_AgeS","JAGS models use in  AgeS_Computation","A list of JAGS models use to a Bayesian analysis of OSL age of various samples. There are models for various growth curves and various distrubution to describe equivalent dose distribution around the palaeodose.",NA,NA,NA,NA,NA
"Model_Palaeodose","<br /> JAGS models use in  Palaeodose_Computation <br />","A list of JAGS models use to a Bayesian analysis of OSL palaeodose of one or various samples. There are models for various growth curves and various distrubution to describe equivalent dose distribution around the palaeodose.",NA,NA,NA,NA,NA
"ModelC14","<br /> Likelihood of C14 samples for JAGS models use in  Age_OSLC14 <br />","A list of models for C14 data to define likelyhood in JAGS models.",NA,NA,NA,NA,NA
"ModelOSL","<br /> Likelihood of OSL samples for JAGS models use in  Age_OSLC14 <br />","A list of models for OSL data to define likelyhood in JAGS models.",NA,NA,NA,NA,NA
"ModelPrior","<br /> Prior for JAGS models use in  Age_OSLC14 <br />","A list to define prior in JAGS models, taking acount OSL data and C14 data in stratigraphic constraint. The difficulty is in the fact that each cases is different. The youngest sample can be a C14 as well as a OSL sample. To resolve this problem we consider diferent cases thanks to this list.",NA,NA,NA,NA,NA
"Palaeodose_Computation","Bayesian analysis for the palaeodose estimation of various samples","This function computes the palaeodose (in Gy) of one or various samples according to the model developed in Combes et al (2015), based on an output of  Generate_DataFile  or  Generate_DataFile_MG  or both of them using  combine_DataFiles .  Samples, for which data is avalilable in several BIN files, can be analysed.  Single-grain or Multi-grain OSL measurements can be analysed simultaneouly.",NA,NA,NA,"Claire Christophe, Sebastian Kreutzer, Anne Philippe, Guillaume Guérin<br />","Christophe, C., Kreutzer, S., Philippe, A., Guérin, G., 2024. Palaeodose_Computation(): Bayesian analysis for the palaeodose estimation of various samples. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"plot_Ages","Create Age Plot","Create Age Plot","0.1.5
",NA,NA,"Sebastian Kreutzer, Institute of Geography, Ruprecht-Karl-University of Heidelberg (Germany), based on code<br /> written by Claire Christophe<br />","Kreutzer, S., Christophe, C., 2024. plot_Ages(): Create Age Plot. Function version 0.1.5. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"plot_MCMC","Plot MCMC trajectories and posterior distributions","This function uses the output of  rjags::jags.model  to visualise the traces of the MCMC and the corresponding densities. In particular it displays the posterior distributions of the age, if it is calculated, palaeodose and the equivalent dose dispersion parameters of the sample. The function output is very similar to plot output produced with the 'coda' package, but tailored to meet the needs in the context of the  'BayLum'  package.","0.1.5
",NA,NA,"Sebastian Kreutzer, Institute of Geography, Ruprecht-Karl University of Heidelberg (Germany). This function<br /> is a re-written version of the function 'MCMC_plot()' by Claire Christophe<br />","Kreutzer, S., Christophe, C., 2024. plot_MCMC(): Plot MCMC trajectories and posterior distributions. Function version 0.1.5. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"plot_RegDosePoints","Plot Regeneration Dose Points","Simple plot functionality to visualise $L_x/T_x$ values against the dose extracted from data created by  create_DataFile",NA,NA,NA,"Sebastian Kreutzer, Institute of Geography, Heidelberg University (Germany)<br />","Kreutzer, S., 2024. plot_RegDosePoints(): Plot Regeneration Dose Points. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"plot_Scatterplots","Display Scatter Plot Matrix of the Bayesian Age Results","Create a hexbin plot matrix ( hexbin::hexplom ) of age results returned by the Bayesian age calculation.","0.3.2
",NA,NA,"Sebastian Kreutzer, Institute of Geography, Ruprecht-Karl University of Heidelberg (Germany) ,<br /> based on the function 'ScatterSamples()' by Claire Christophe, Anne Philippe, Guillaume Guérin<br />","Kreutzer, S., Christophe, C., Philippe, A., Guérin, G., 2024. plot_Scatterplots(): Display Scatter Plot Matrix of the Bayesian Age Results. Function version 0.3.2. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"SC_Ordered","Create Stratigraphically Ordered Sample Matrix","Construct the stratigraphic matrix used in the functions  AgeS_Computation  and  AgeC14_Computation  for samples that are all ordered by increasing age.",NA,NA,NA,"Claire Christophe, Anne Philippe, Sebastian Kreutzer, Guillaume Guérin<br />","Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., 2024. SC_Ordered(): Create Stratigraphically Ordered Sample Matrix. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"SCMatrix","Construct the Stratigraphic Constrain Matrix Interactively","This function helps to define the stratigraphic relation between samples using questions. The output of this function can be used in the function  AgeS_Computation .",NA,NA,NA,"Claire Christophe, Anne Philippe, Guillaume Guérin, Sebastian Kreutzer<br />","Christophe, C., Philippe, A., Guérin, G., Kreutzer, S., 2024. SCMatrix(): Construct the Stratigraphic Constrain Matrix Interactively. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"SHCal13","<br /> Atmospheric South data for calibration of 14C age ","As 14C years is not equal to calendar years because atmospheric 14C concentration varies through time. Hence, data in AtmosphericSouth_CalC14 allows a calibration for mid-latitude Southern Hemisphere atmospher reservoir.",NA,NA,NA,NA,NA
"SHCal20","<br /> Atmospheric South data for calibration of 14C age ","As 14C years is not equal to calendar years because atmospheric 14C concentration varies through time. Hence, data in AtmosphericSouth_CalC14 allows a calibration for mid-latitude Southern Hemisphere atmospher reservoir.",NA,NA,NA,NA,NA
"write_BayLumFiles","Write BayLum .csv-files","This function allows the user to write all .csv files expected by Generate_DataFile  and  Generate_DataFile_MG . Unlike  create_FolderTemplates , this function makes it possible to write .csv files with all information directly from R. No further modification of .csv files are required. The purpose of this function is (i) to reduce tedious manual editing of .csv-files and the errors that result (ii) to introduce an easy way to review information inside .csv-files (by revisiting code rather than opening individual .csv-files) and (iii) to streamline folder and file creation when preparing data to run BayLum's modelling functions. Note: the user will still need to move the appropriate .bin-files into all the sample folders.","0.1.0
",NA,NA,"Frederik Baumgarten, RadPhys, DTU Physics, Technical University of Denmark (Denmark)<br />","Baumgarten, F.H., 2024. write_BayLumFiles(): Write BayLum .csv-files. Function version 0.1.0. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
"write_YAMLConfigFile","Write Auto Generated YAML BayLum Configuration File to the Disc","This little function helps to auto-generate a the BayLum YAML configuration file or a  list  that can be passed to  create_DataFile . The YAML file itself can be modified in any text editor. The allowed parameters are extracted from the reference YAML file","0.1.0
",NA,NA,"Sebastian Kreutzer, Institute of Geography, Ruprecht-Karl University of Heidelberg (Germany)<br />","Kreutzer, S., 2024. write_YAMLConfigFile(): Write Auto Generated YAML BayLum Configuration File to the Disc. Function version 0.1.0. In: Christophe, C., Philippe, A., Kreutzer, S., Guérin, G., Baumgarten, F.H., Frerebeau, N., 2024. BayLum: Chronological Bayesian Models Integrating Optically Stimulated. R package version 0.3.2. https://CRAN.r-project.org/package=BayLum
"
